Dat,Month,Berri1,Maisonneuve_2,Maisonneuve_1,Brébeuf,Parc,PierDup
01/01/12,January,35,51,38,5,26,10
02/01/12,January,83,153,68,11,53,6
03/01/12,January,135,248,104,2,89,3
04/01/12,January,144,318,116,2,111,8
05/01/12,January,197,330,124,6,97,13
06/01/12,January,146,244,98,4,86,4
07/01/12,January,98,108,80,5,53,6
08/01/12,January,95,98,62,13,64,11
09/01/12,January,244,432,165,9,198,12
10/01/12,January,397,563,238,6,275,18
11/01/12,January,273,443,182,7,258,12
12/01/12,January,157,261,134,3,137,9
13/01/12,January,75,105,41,4,64,2
14/01/12,January,32,56,54,0,19,0
15/01/12,January,54,60,33,0,18,0
16/01/12,January,168,312,136,8,137,1
17/01/12,January,155,256,86,4,74,0
18/01/12,January,139,188,66,2,68,3
19/01/12,January,191,248,104,46,79,3
20/01/12,January,161,217,96,4,67,1
21/01/12,January,53,70,47,11,32,1
22/01/12,January,71,73,41,20,35,5
23/01/12,January,210,357,114,22,91,6
24/01/12,January,299,444,189,9,174,4
25/01/12,January,334,453,217,16,180,4
26/01/12,January,306,495,215,3,191,0
27/01/12,January,91,204,79,11,65,0
28/01/12,January,80,123,61,3,33,9
29/01/12,January,87,132,65,6,40,7
30/01/12,January,219,371,146,6,152,2
31/01/12,January,186,324,109,7,122,0
01/02/12,February,138,271,100,10,71,5
02/02/12,February,217,345,134,7,128,2
03/02/12,February,174,301,103,2,111,1
04/02/12,February,84,119,53,16,44,8
05/02/12,February,72,133,46,11,54,7
06/02/12,February,248,425,136,5,167,10
07/02/12,February,316,516,209,12,225,9
08/02/12,February,271,503,202,6,215,4
09/02/12,February,342,471,227,6,231,11
10/02/12,February,303,478,206,13,216,6
11/02/12,February,71,112,63,12,49,3
12/02/12,February,78,91,36,4,53,5
13/02/12,February,211,408,175,13,207,4
14/02/12,February,318,504,186,6,243,9
15/02/12,February,307,491,180,8,232,5
16/02/12,February,386,569,212,3,295,10
17/02/12,February,332,496,237,15,260,11
18/02/12,February,220,280,159,7,134,30
19/02/12,February,169,205,110,7,113,13
20/02/12,February,303,470,224,17,243,14
21/02/12,February,441,503,292,12,286,10
22/02/12,February,375,501,263,7,264,12
23/02/12,February,397,528,293,12,329,22
24/02/12,February,243,313,187,13,137,4
25/02/12,February,62,52,48,1,18,2
26/02/12,February,78,47,76,2,35,4
27/02/12,February,119,298,94,9,134,3
28/02/12,February,195,350,158,22,168,9
29/02/12,February,242,446,164,15,190,7
01/03/12,March,92,199,56,46,63,0
02/03/12,March,143,283,56,31,77,7
03/03/12,March,82,133,65,2,47,2
04/03/12,March,107,138,79,0,60,15
05/03/12,March,155,363,114,88,157,8
06/03/12,March,269,437,192,4,170,10
07/03/12,March,438,715,290,7,266,28
